,Problem,Efficacy,Iterations,Elapsed Time
0,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,551.3919236660004
1,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,505.5598511695862
2,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,491.23789715766907
3,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,489.3252737522125
4,5x7_King_Nakornchai(1982)[Figure-1a].txt,9,1000,490.4315869808197
5,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,488.2437996864319
6,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,487.6352939605713
7,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,487.5579137802124
8,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,489.5685284137726
9,5x7_King_Nakornchai(1982)[Figure-1a].txt,7,1000,489.006733417511
